epoch,losses_y_train,losses_y_valid,losses_p
50,6.9484847726148424e-6,9.866729331256459e-8,0.525216423931234
50,6.463942828058121e-6,8.148057831366586e-8,0.5172898135700194
50,5.943361519008481e-6,6.210629384709099e-8,0.5074826646126467
50,5.421478022345069e-6,4.092601015496222e-8,0.4991807081861044
50,4.8698359583742545e-6,1.706131780441564e-8,0.4900284140623577
50,4.3389498693701445e-6,8.724457203084582e-9,0.4818957718321751
50,4.024830911334993e-6,2.7580328756655225e-8,0.46922409370332346
50,3.815740711909015e-6,3.8909049024887615e-8,0.4536723591134728
50,3.6533651267048207e-6,4.6771654490368886e-8,0.4389073201105598
50,3.495101672362438e-6,5.170018542227566e-8,0.421528763517024
50,3.3535352225616597e-6,5.481187270615927e-8,0.4052103874490376
50,3.2113465985928976e-6,5.7881055804753776e-8,0.3880906399060456
50,3.064922936019039e-6,6.15687181299582e-8,0.3710302510723518
50,2.9354774781664483e-6,6.217406520124993e-8,0.35425857922817255
50,2.7832044061095616e-6,6.626817621551149e-8,0.3361488251140526
50,2.650431246307453e-6,6.529869198290135e-8,0.3186254373352003
50,2.5276350468078895e-6,6.309889233912718e-8,0.3021980159377089
50,2.3909531120412215e-6,6.104028360845609e-8,0.28427560783425293
50,2.264896166054797e-6,5.9549088447189385e-8,0.26812286272982516
50,2.133976877820039e-6,5.72696986090628e-8,0.25140644956209673
50,1.9895225546696753e-6,5.9253120802328196e-8,0.23338101610608453
50,1.8521677561715089e-6,5.57320395227871e-8,0.21585122555503836
50,1.71307959994684e-6,5.4744133140643207e-8,0.198625211814854
50,1.5864254524195945e-6,5.086040588608708e-8,0.1825666105253749
50,1.442125648078157e-6,4.824570036624124e-8,0.16464412365797987
50,1.3266701911611318e-6,4.161860315820575e-8,0.15020958723375896
50,1.180274564816585e-6,4.197721944814997e-8,0.13279525668264133
50,1.0412100623289537e-6,3.8163516033208504e-8,0.115874674050145
50,9.06523024368907e-7,3.265698278218246e-8,0.0998829623960195
50,7.847063298557683e-7,2.9284324010733006e-8,0.085564081519105
50,6.389991404079008e-7,2.511151600628099e-8,0.06886024635762007
50,5.183065384808415e-7,1.8538041245072734e-8,0.055088356118511705
50,3.714348550486479e-7,1.571794921241728e-8,0.04271247019961973
50,2.4418343951104165e-7,1.145782290349579e-8,0.03014607857739789
50,1.1444750956309771e-7,6.1942667546290125e-9,0.01631566358601111
50,1.7157885321566477e-8,5.85658542633274e-10,0.009709748297606216
50,2.0406964537893695e-8,1.2917723820349303e-10,0.00914039884861828
50,5.992331391220657e-9,8.476644062500717e-11,0.009316234420679711
50,9.85685124890997e-10,6.675659375869633e-11,0.009392727219596239
50,5.141231054064149e-9,1.0551134005836437e-10,0.009370416848307158
50,1.0931014962536446e-8,2.961315164396469e-10,0.009480887406858521
50,4.231349753264382e-9,3.692422743355876e-11,0.009256388994071848
50,3.804090075278256e-9,1.5263515900972015e-10,0.009192634795734808
50,1.7441660596728067e-8,6.479309773919919e-10,0.008933606969115123
50,6.4090463041933396e-9,3.958897513076165e-10,0.009331149789318113
50,2.029667687904381e-9,4.498901956273335e-11,0.009171682714412007
50,1.6959714728909315e-9,1.0095435928429824e-11,0.009125793884971367
50,1.083223526130401e-8,2.2928509799887885e-10,0.00925160375261136
50,9.704387506381396e-9,3.355250619715085e-10,0.00892460610605772
50,4.72106523161606e-9,1.908374374821555e-10,0.008967708505293196
