variable,mean,std,sem,n
CEM,-4.689100983213485,2.3828381670448326,0.009809989486963369,59000
HRR,1633325748.1852016,5846410346.968242,24069290.49292554,59000
MF,0.32689269356352396,0.35744274324182446,0.0014715684858037908,59000
T,1081.4396051456756,669.3825320825636,2.755804272948478,59000
X_AR,0.0,0.0,0.0,59000
X_H,0.00034183438584978036,0.001146910953494417,4.721757671951741e-06,59000
X_H2,0.15174795091101756,0.1656812081878658,0.0006820987396412526,59000
X_H2NN,6.533589322383969e-07,2.1995941205432805e-06,9.05558568623936e-09,59000
X_H2NO,1.4912736739179507e-06,3.5575485355944352e-06,1.4646195539508793e-08,59000
X_H2O,0.12300715467540746,0.1089791789895882,0.0004486601796846428,59000
X_H2O2,1.0292887886104188e-06,4.7440106965815e-06,1.9530782955866035e-08,59000
X_HNO,1.603521796027298e-05,4.115923267609365e-05,1.6944987931963112e-07,59000
X_HNO2,3.0188555480904117e-09,1.837814650271134e-08,7.566163177798333e-11,59000
X_HNOH,1.254975353958855e-07,2.9923961736185386e-07,1.2319500086081575e-09,59000
X_HO2,2.9054022165194656e-06,6.272660021770048e-06,2.582413263305003e-08,59000
X_HON,2.574154972714362e-05,7.81395794638846e-05,3.216955577000476e-07,59000
X_HONO,9.445372027530679e-07,5.897215843623708e-06,2.42784534125745e-08,59000
X_HONO2,1.292188387557535e-09,1.4516999933622353e-08,5.976554291460774e-11,59000
X_N,9.771614602932739e-06,3.35052557474079e-05,1.3793895497641924e-07,59000
X_N2,0.49923912600358333,0.27910095136468616,0.0011490404327729282,59000
X_N2H2,2.103070027137287e-05,5.76041874956933e-05,2.371526868896195e-07,59000
X_N2H3,1.3905048115141766e-06,4.751824565136643e-06,1.9562952143618108e-08,59000
X_N2H4,1.038488463008696e-06,3.3207187704523392e-06,1.3671182826360384e-08,59000
X_N2O,0.000878690693140515,0.0022330921960770013,9.193495080743835e-06,59000
X_NH,2.5794020439793098e-05,7.085135764399479e-05,2.9169042331005825e-07,59000
X_NH2,0.00022046799652450318,0.00046411485857669407,1.9107306347318535e-06,59000
X_NH2OH,1.357589899433892e-07,2.761335306510678e-07,1.1368237550284654e-09,59000
X_NH3,0.1624923867369963,0.20410632275323198,0.0008402924328323828,59000
X_NNH,1.1821018989946928e-08,3.5715810897201444e-08,1.4703966650594853e-10,59000
X_NO,0.002511455191054727,0.01056413748040232,4.3491865731741315e-05,59000
X_NO2,3.567604591177244e-06,1.0960222318052839e-05,4.5122521202614545e-08,59000
X_NO3,5.757907998308085e-11,2.632431383282115e-10,1.0837548496705825e-12,59000
X_O,0.00014123576509718108,0.0006394787911397033,2.6326925197763555e-06,59000
X_O2,0.06816301080762321,0.0871409966553965,0.00035875380581683704,59000
X_OH,0.0005291870630731913,0.0016631014077600169,6.846880141303688e-06,59000
